car,steps
B,1
J,-1
I,-1
A,-1
E,1
I,1
E,-1
B,-2
C,-1
I,-2
C,1
C,-1
I,2
I,-1
B,1
C,1
C,-1
I,-1
G,1
I,2
G,-1
J,1
G,1
L,1
J,-1
G,1
I,-1
G,-1
I,1
B,-1
J,1
B,2
J,-1
L,-1
G,-1
B,-2
B,2
G,1
E,1
F,1
G,1
F,-1
X,3
I,-1
X,-2
H,-1
I,-1
I,1
X,1
X,1
X,-1
X,-1
X,1
X,1
X,1
